model,mean_iou,std_iou,n_params,total_inference_time_s,avg_inference_time_s,dataset_size
strides_32,0.6766127567316125,0.13027250897917203,26737962,13.927792072296143,0.009481138238458912,1469
strides_2,0.4068649923866346,0.19971817615779436,25595178,14.073158264160156,0.009580094121279888,1469
strides_2_32,0.7006474841017861,0.12815219224687774,26779178,14.233619451522827,0.009689325698790215,1469
strides_2_8_32,0.7287817079041067,0.1223061944202808,26849066,14.777478218078613,0.010059549501755354,1469
strides_2_32_extra_convs,0.7055793346753194,0.12839147950797092,26816170,14.75186276435852,0.010042112160897563,1469
